"date","outbreak_group","outbreak_subgroup","number_ongoing_outbreaks"
2021-01-24,"Other/Unknown","Other",21
2021-01-24,"Other/Unknown","Unknown",12
2021-01-24,"Recreational","Bar/restaurant/nightclub",18
2021-01-24,"Recreational","Other recreation",21
2021-01-24,"Recreational","Personal service settings",2
2021-01-24,"Recreational","Recreational fitness",6
2021-01-24,"Workplace","Medical/Health Service",8
2021-01-24,"Workplace","Retail",46
2021-01-24,"Workplace","Farm",19
2021-01-24,"Workplace","Food Processing",21
2021-01-24,"Workplace","Workplace (Other)",156
2021-01-25,"Congregate Care","Hospitals",99
2021-01-25,"Congregate Care","Long-Term Care Homes",244
2021-01-25,"Congregate Care","Retirement Homes",160
2021-01-25,"Congregate Living","Congregate other",30
2021-01-25,"Congregate Living","Correctional Facility",10
2021-01-25,"Congregate Living","Group Home/Supportive Housing",73
2021-01-25,"Congregate Living","Shelter",22
2021-01-25,"Education","Child care",73
2021-01-25,"Education","Elementary School",28
2021-01-25,"Education","Elementary/Secondary School",2
2021-01-25,"Education","Post-Secondary School",2
2021-01-25,"Education","Secondary School",13
2021-01-25,"Other/Unknown","Other",22
2021-01-25,"Other/Unknown","Unknown",12
2021-01-25,"Recreational","Bar/restaurant/nightclub",19
2021-01-25,"Recreational","Other recreation",22
2021-01-25,"Recreational","Personal service settings",2
2021-01-25,"Recreational","Recreational fitness",6
2021-01-25,"Workplace","Medical/Health Service",8
2021-01-25,"Workplace","Retail",45
2021-01-25,"Workplace","Farm",20
2021-01-25,"Workplace","Food Processing",21
2021-01-25,"Workplace","Workplace (Other)",154
2021-01-26,"Congregate Care","Hospitals",98
2021-01-26,"Congregate Care","Long-Term Care Homes",253
2021-01-26,"Congregate Care","Retirement Homes",153
2021-01-26,"Congregate Living","Congregate other",27
2021-01-26,"Congregate Living","Correctional Facility",9
2021-01-26,"Congregate Living","Group Home/Supportive Housing",75
2021-01-26,"Congregate Living","Shelter",23
2021-01-26,"Education","Child care",63
2021-01-26,"Education","Elementary School",23
2021-01-26,"Education","Elementary/Secondary School",2
2021-01-26,"Education","Post-Secondary School",1
2021-01-26,"Education","Secondary School",14
2021-01-26,"Other/Unknown","Other",25
2021-01-26,"Other/Unknown","Unknown",11
2021-01-26,"Recreational","Bar/restaurant/nightclub",16
2021-01-26,"Recreational","Other recreation",14
2021-01-26,"Recreational","Recreational fitness",3
2021-01-26,"Workplace","Medical/Health Service",7
2021-01-26,"Workplace","Retail",38
2021-01-26,"Workplace","Farm",20
2021-01-26,"Workplace","Food Processing",14
2021-01-26,"Workplace","Workplace (Other)",130
2021-01-27,"Congregate Care","Hospitals",94
2021-01-27,"Congregate Care","Long-Term Care Homes",245
2021-01-27,"Congregate Care","Retirement Homes",154
2021-01-27,"Congregate Living","Congregate other",27
2021-01-27,"Congregate Living","Correctional Facility",8
2021-01-27,"Congregate Living","Group Home/Supportive Housing",71
2021-01-27,"Congregate Living","Shelter",25
2021-01-27,"Congregate Living","Short-term accommodations",1
2021-01-27,"Education","Child care",60
2021-01-27,"Education","Elementary School",23
2021-01-27,"Education","Elementary/Secondary School",3
2021-01-27,"Education","Post-Secondary School",2
2021-01-27,"Education","Secondary School",15
2021-01-27,"Other/Unknown","Other",31
2021-01-27,"Other/Unknown","Unknown",10
2021-01-27,"Recreational","Bar/restaurant/nightclub",14
2021-01-27,"Recreational","Other recreation",14
2021-01-27,"Recreational","Recreational fitness",3
2021-01-27,"Workplace","Medical/Health Service",7
2021-01-27,"Workplace","Retail",36
2021-01-27,"Workplace","Farm",20
2021-01-27,"Workplace","Food Processing",15
2021-01-27,"Workplace","Workplace (Other)",136
2021-01-28,"Congregate Care","Hospitals",87
2021-01-28,"Congregate Care","Long-Term Care Homes",240
2021-01-28,"Congregate Care","Retirement Homes",151
2021-01-28,"Congregate Living","Congregate other",28
2021-01-28,"Congregate Living","Correctional Facility",8
2021-01-28,"Congregate Living","Group Home/Supportive Housing",69
2021-01-28,"Congregate Living","Shelter",25
2021-01-28,"Congregate Living","Short-term accommodations",1
2021-01-28,"Education","Child care",56
2021-01-28,"Education","Elementary School",18
2021-01-28,"Education","Elementary/Secondary School",3
2021-01-28,"Education","Post-Secondary School",2
2021-01-28,"Education","Secondary School",16
2021-01-28,"Other/Unknown","Other",20
2021-01-28,"Other/Unknown","Unknown",8
2021-01-28,"Recreational","Bar/restaurant/nightclub",13
2021-01-28,"Recreational","Other recreation",13
2021-01-28,"Recreational","Recreational fitness",3
2021-01-28,"Workplace","Medical/Health Service",9
2021-01-28,"Workplace","Retail",31
2021-01-28,"Workplace","Farm",21
2021-01-28,"Workplace","Food Processing",19
2021-01-28,"Workplace","Workplace (Other)",145
2021-01-29,"Congregate Care","Hospitals",88
2021-01-29,"Congregate Care","Long-Term Care Homes",239
2021-01-29,"Congregate Care","Retirement Homes",148
2021-01-29,"Congregate Living","Congregate other",26
2021-01-29,"Congregate Living","Correctional Facility",9
2021-01-29,"Congregate Living","Group Home/Supportive Housing",65
2021-01-29,"Congregate Living","Shelter",25
2021-01-29,"Congregate Living","Short-term accommodations",2
2021-01-29,"Education","Child care",60
2021-01-29,"Education","Elementary School",17
2021-01-29,"Education","Elementary/Secondary School",3
2021-01-29,"Education","Post-Secondary School",3
2021-01-29,"Education","Secondary School",15
2021-01-29,"Other/Unknown","Other",17
2021-01-29,"Other/Unknown","Unknown",8
2021-01-29,"Recreational","Bar/restaurant/nightclub",13
2021-01-29,"Recreational","Other recreation",13
2021-01-29,"Recreational","Recreational fitness",3
2021-01-29,"Workplace","Medical/Health Service",10
2021-01-29,"Workplace","Retail",31
2021-01-29,"Workplace","Farm",21
2021-01-29,"Workplace","Food Processing",20
2021-01-29,"Workplace","Workplace (Other)",139
2021-01-30,"Congregate Care","Hospitals",89
2021-01-30,"Congregate Care","Long-Term Care Homes",241
2021-01-30,"Congregate Care","Retirement Homes",142
2021-01-30,"Congregate Living","Congregate other",24
2021-01-30,"Congregate Living","Correctional Facility",8
2021-01-30,"Congregate Living","Group Home/Supportive Housing",71
2021-01-30,"Congregate Living","Shelter",27
2021-01-30,"Congregate Living","Short-term accommodations",3
2021-01-30,"Education","Child care",58
2021-01-30,"Education","Elementary School",16
2021-01-30,"Education","Elementary/Secondary School",3
2021-01-30,"Education","Post-Secondary School",3
2021-01-30,"Education","Secondary School",15
2021-01-30,"Other/Unknown","Other",14
2021-01-30,"Other/Unknown","Unknown",8
2021-01-30,"Recreational","Bar/restaurant/nightclub",11
2021-01-30,"Recreational","Other recreation",11
2021-01-30,"Recreational","Recreational fitness",3
2021-01-30,"Workplace","Medical/Health Service",11
2021-01-30,"Workplace","Retail",26
2021-01-30,"Workplace","Farm",22
2021-01-30,"Workplace","Food Processing",21
2021-01-30,"Workplace","Workplace (Other)",147
2021-01-31,"Congregate Care","Hospitals",84
2021-01-31,"Congregate Care","Long-Term Care Homes",240
2021-01-31,"Congregate Care","Retirement Homes",136
2021-01-31,"Congregate Living","Congregate other",24
2021-01-31,"Congregate Living","Correctional Facility",9
2021-01-31,"Congregate Living","Group Home/Supportive Housing",73
2021-01-31,"Congregate Living","Shelter",26
2021-01-31,"Congregate Living","Short-term accommodations",3
2021-01-31,"Education","Child care",57
2021-01-31,"Education","Elementary School",15
2021-01-31,"Education","Elementary/Secondary School",3
2021-01-31,"Education","Post-Secondary School",3
2021-01-31,"Education","Secondary School",13
2021-01-31,"Other/Unknown","Other",16
2021-01-31,"Other/Unknown","Unknown",9
2021-01-31,"Recreational","Bar/restaurant/nightclub",11
2021-01-31,"Recreational","Other recreation",14
2021-01-31,"Recreational","Recreational fitness",3
2021-01-31,"Workplace","Medical/Health Service",11
2021-01-31,"Workplace","Retail",27
2021-01-31,"Workplace","Farm",21
2021-01-31,"Workplace","Food Processing",17
2021-01-31,"Workplace","Workplace (Other)",142
2021-02-01,"Congregate Care","Hospitals",84
2021-02-01,"Congregate Care","Long-Term Care Homes",241
2021-02-01,"Congregate Care","Retirement Homes",137
2021-02-01,"Congregate Living","Congregate other",23
2021-02-01,"Congregate Living","Correctional Facility",9
2021-02-01,"Congregate Living","Group Home/Supportive Housing",72
2021-02-01,"Congregate Living","Shelter",26
2021-02-01,"Congregate Living","Short-term accommodations",3
2021-02-01,"Education","Child care",56
2021-02-01,"Education","Elementary School",17
2021-02-01,"Education","Elementary/Secondary School",3
2021-02-01,"Education","Post-Secondary School",3
2021-02-01,"Education","Secondary School",13
2021-02-01,"Other/Unknown","Other",19
2021-02-01,"Other/Unknown","Unknown",9
2021-02-01,"Recreational","Bar/restaurant/nightclub",12
2021-02-01,"Recreational","Other recreation",14
2021-02-01,"Recreational","Recreational fitness",3
2021-02-01,"Workplace","Medical/Health Service",10
2021-02-01,"Workplace","Retail",27
2021-02-01,"Workplace","Farm",20
2021-02-01,"Workplace","Food Processing",17
2021-02-01,"Workplace","Workplace (Other)",137
2021-02-02,"Congregate Care","Hospitals",83
2021-02-02,"Congregate Care","Long-Term Care Homes",240
2021-02-02,"Congregate Care","Retirement Homes",133
2021-02-02,"Congregate Living","Congregate other",22
2021-02-02,"Congregate Living","Correctional Facility",11
2021-02-02,"Congregate Living","Group Home/Supportive Housing",68
2021-02-02,"Congregate Living","Shelter",21
2021-02-02,"Congregate Living","Short-term accommodations",3
2021-02-02,"Education","Child care",56
2021-02-02,"Education","Elementary School",16
2021-02-02,"Education","Elementary/Secondary School",3
2021-02-02,"Education","Post-Secondary School",3
2021-02-02,"Education","Secondary School",13
2021-02-02,"Other/Unknown","Other",18
2021-02-02,"Other/Unknown","Unknown",8
2021-02-02,"Recreational","Bar/restaurant/nightclub",12
2021-02-02,"Recreational","Other recreation",15
2021-02-02,"Recreational","Recreational fitness",3
2021-02-02,"Workplace","Medical/Health Service",8
2021-02-02,"Workplace","Retail",28
2021-02-02,"Workplace","Farm",20
2021-02-02,"Workplace","Food Processing",15
2021-02-02,"Workplace","Workplace (Other)",132
2021-02-03,"Congregate Care","Hospitals",82
2021-02-03,"Congregate Care","Long-Term Care Homes",229
2021-02-03,"Congregate Care","Retirement Homes",129
2021-02-03,"Congregate Living","Congregate other",24
2021-02-03,"Congregate Living","Correctional Facility",12
2021-02-03,"Congregate Living","Group Home/Supportive Housing",64
2021-02-03,"Congregate Living","Shelter",22
2021-02-03,"Congregate Living","Short-term accommodations",5
2021-02-03,"Education","Child care",55
2021-02-03,"Education","Elementary School",15
2021-02-03,"Education","Elementary/Secondary School",3
2021-02-03,"Education","Post-Secondary School",3
2021-02-03,"Education","Secondary School",12
2021-02-03,"Other/Unknown","Other",2
2021-02-03,"Other/Unknown","Unknown",7
2021-02-03,"Recreational","Bar/restaurant/nightclub",12
2021-02-03,"Recreational","Other recreation",12
2021-02-03,"Recreational","Recreational fitness",2
2021-02-03,"Workplace","Medical/Health Service",8
2021-02-03,"Workplace","Retail",28
2021-02-03,"Workplace","Farm",23
2021-02-03,"Workplace","Food Processing",16
2021-02-03,"Workplace","Workplace (Other)",139
2021-02-04,"Congregate Care","Hospitals",75
2021-02-04,"Congregate Care","Long-Term Care Homes",226
2021-02-04,"Congregate Care","Retirement Homes",129
2021-02-04,"Congregate Living","Congregate other",21
2021-02-04,"Congregate Living","Correctional Facility",13
2021-02-04,"Congregate Living","Group Home/Supportive Housing",64
2021-02-04,"Congregate Living","Shelter",20
2021-02-04,"Congregate Living","Short-term accommodations",5
2021-02-04,"Education","Child care",55
2021-02-04,"Education","Elementary School",16
2021-02-04,"Education","Elementary/Secondary School",3
2021-02-04,"Education","Post-Secondary School",3
2021-02-04,"Education","Secondary School",7
2021-02-04,"Other/Unknown","Other",2
2021-02-04,"Other/Unknown","Unknown",7
2021-02-04,"Recreational","Bar/restaurant/nightclub",11
2021-02-04,"Recreational","Other recreation",12
2021-02-04,"Recreational","Recreational fitness",2
2021-02-04,"Workplace","Medical/Health Service",6
2021-02-04,"Workplace","Retail",23
2021-02-04,"Workplace","Farm",22
2021-02-04,"Workplace","Food Processing",17
2021-02-04,"Workplace","Workplace (Other)",143
2021-02-05,"Congregate Care","Hospitals",74
2021-02-05,"Congregate Care","Long-Term Care Homes",225
2021-02-05,"Congregate Care","Retirement Homes",126
2021-02-05,"Congregate Living","Congregate other",17
2021-02-05,"Congregate Living","Correctional Facility",13
2021-02-05,"Congregate Living","Group Home/Supportive Housing",62
2021-02-05,"Congregate Living","Shelter",19
2021-02-05,"Congregate Living","Short-term accommodations",5
2021-02-05,"Education","Child care",46
2021-02-05,"Education","Elementary School",16
2021-02-05,"Education","Elementary/Secondary School",3
2021-02-05,"Education","Post-Secondary School",2
2021-02-05,"Education","Secondary School",8
2021-02-05,"Other/Unknown","Other",8
2021-02-05,"Other/Unknown","Unknown",7
2021-02-05,"Recreational","Bar/restaurant/nightclub",10
2021-02-05,"Recreational","Other recreation",12
2021-02-05,"Recreational","Recreational fitness",2
2021-02-05,"Workplace","Medical/Health Service",6
2021-02-05,"Workplace","Retail",21
2021-02-05,"Workplace","Farm",17
2021-02-05,"Workplace","Food Processing",16
2021-02-05,"Workplace","Workplace (Other)",147
2021-02-06,"Congregate Care","Hospitals",74
2021-02-06,"Congregate Care","Long-Term Care Homes",224
2021-02-06,"Congregate Care","Retirement Homes",122
2021-02-06,"Congregate Living","Congregate other",17
2021-02-06,"Congregate Living","Correctional Facility",13
2021-02-06,"Congregate Living","Group Home/Supportive Housing",60
2021-02-06,"Congregate Living","Shelter",20
2021-02-06,"Congregate Living","Short-term accommodations",5
2021-02-06,"Education","Child care",43
2021-02-06,"Education","Elementary School",14
2021-02-06,"Education","Elementary/Secondary School",2
2021-02-06,"Education","Post-Secondary School",1
2021-02-06,"Education","Secondary School",7
2021-02-06,"Other/Unknown","Other",8
2021-02-06,"Other/Unknown","Unknown",8
2021-02-06,"Recreational","Bar/restaurant/nightclub",8
2021-02-06,"Recreational","Other recreation",15
2021-02-06,"Recreational","Recreational fitness",2
2021-02-06,"Workplace","Medical/Health Service",6
2021-02-06,"Workplace","Retail",20
2021-02-06,"Workplace","Farm",17
2021-02-06,"Workplace","Food Processing",15
2021-02-06,"Workplace","Workplace (Other)",142
2021-02-07,"Congregate Care","Hospitals",70
2021-02-07,"Congregate Care","Long-Term Care Homes",220
2021-02-07,"Congregate Care","Retirement Homes",122
2021-02-07,"Congregate Living","Congregate other",16
2021-02-07,"Congregate Living","Correctional Facility",13
2021-02-07,"Congregate Living","Group Home/Supportive Housing",60
2021-02-07,"Congregate Living","Shelter",20
2021-02-07,"Congregate Living","Short-term accommodations",5
2021-02-07,"Education","Child care",41
2021-02-07,"Education","Elementary School",13
2021-02-07,"Education","Elementary/Secondary School",2
2021-02-07,"Education","Post-Secondary School",1
2021-02-07,"Education","Secondary School",6
2021-02-07,"Other/Unknown","Other",11
2021-02-07,"Other/Unknown","Unknown",7
2021-02-07,"Recreational","Bar/restaurant/nightclub",9
2021-02-07,"Recreational","Other recreation",14
2021-02-07,"Recreational","Recreational fitness",2
2021-02-07,"Workplace","Medical/Health Service",6
2021-02-07,"Workplace","Retail",20
2021-02-07,"Workplace","Farm",14
2021-02-07,"Workplace","Food Processing",14
2021-02-07,"Workplace","Workplace (Other)",145
2021-02-08,"Congregate Care","Hospitals",71
2021-02-08,"Congregate Care","Long-Term Care Homes",223
2021-02-08,"Congregate Care","Retirement Homes",116
2021-02-08,"Congregate Living","Congregate other",15
2021-02-08,"Congregate Living","Correctional Facility",14
2021-02-08,"Congregate Living","Group Home/Supportive Housing",61
2021-02-08,"Congregate Living","Shelter",20
2021-02-08,"Congregate Living","Short-term accommodations",5
2021-02-08,"Education","Child care",45
2021-02-08,"Education","Elementary School",13
2021-02-08,"Education","Elementary/Secondary School",2
2021-02-08,"Education","Post-Secondary School",1
2021-02-08,"Education","Secondary School",6
2021-02-08,"Other/Unknown","Other",11
2021-02-08,"Other/Unknown","Unknown",7
2021-02-08,"Recreational","Bar/restaurant/nightclub",8
2021-02-08,"Recreational","Other recreation",15
2021-02-08,"Recreational","Recreational fitness",2
2021-02-08,"Workplace","Medical/Health Service",6
2021-02-08,"Workplace","Retail",19
2021-02-08,"Workplace","Farm",14
2021-02-08,"Workplace","Food Processing",14
2021-02-08,"Workplace","Workplace (Other)",145
2021-02-09,"Congregate Care","Hospitals",66
2021-02-09,"Congregate Care","Long-Term Care Homes",218
2021-02-09,"Congregate Care","Retirement Homes",117
2021-02-09,"Congregate Living","Congregate other",13
2021-02-09,"Congregate Living","Correctional Facility",13
2021-02-09,"Congregate Living","Group Home/Supportive Housing",56
2021-02-09,"Congregate Living","Shelter",19
2021-02-09,"Congregate Living","Short-term accommodations",4
2021-02-09,"Education","Child care",47
2021-02-09,"Education","Elementary School",13
2021-02-09,"Education","Elementary/Secondary School",1
2021-02-09,"Education","Post-Secondary School",1
2021-02-09,"Education","Secondary School",6
2021-02-09,"Other/Unknown","Other",10
2021-02-09,"Other/Unknown","Unknown",7
2021-02-09,"Recreational","Bar/restaurant/nightclub",8
2021-02-09,"Recreational","Other recreation",13
2021-02-09,"Recreational","Recreational fitness",2
2021-02-09,"Workplace","Medical/Health Service",6
2021-02-09,"Workplace","Retail",19
2021-02-09,"Workplace","Farm",15
2021-02-09,"Workplace","Food Processing",14
2021-02-09,"Workplace","Workplace (Other)",130
2021-02-10,"Congregate Care","Hospitals",59
2021-02-10,"Congregate Care","Long-Term Care Homes",208
2021-02-10,"Congregate Care","Retirement Homes",109
2021-02-10,"Congregate Living","Congregate other",13
2021-02-10,"Congregate Living","Correctional Facility",14
2021-02-10,"Congregate Living","Group Home/Supportive Housing",55
2021-02-10,"Congregate Living","Shelter",18
2021-02-10,"Congregate Living","Short-term accommodations",5
2021-02-10,"Education","Child care",46
2021-02-10,"Education","Elementary School",14
2021-02-10,"Education","Elementary/Secondary School",1
2021-02-10,"Education","Post-Secondary School",1
2021-02-10,"Education","Secondary School",4
2021-02-10,"Other/Unknown","Other",1
2021-02-10,"Other/Unknown","Unknown",6
2021-02-10,"Recreational","Bar/restaurant/nightclub",6
2021-02-10,"Recreational","Other recreation",11
2021-02-10,"Recreational","Personal service settings",1
2021-02-10,"Recreational","Recreational fitness",2
2021-02-10,"Workplace","Medical/Health Service",8
2021-02-10,"Workplace","Retail",24
2021-02-10,"Workplace","Farm",15
2021-02-10,"Workplace","Food Processing",15
2021-02-10,"Workplace","Workplace (Other)",130
2021-02-11,"Congregate Care","Hospitals",55
2021-02-11,"Congregate Care","Long-Term Care Homes",201
2021-02-11,"Congregate Care","Retirement Homes",109
2021-02-11,"Congregate Living","Congregate other",13
2021-02-11,"Congregate Living","Correctional Facility",13
2021-02-11,"Congregate Living","Group Home/Supportive Housing",53
2021-02-11,"Congregate Living","Shelter",17
2021-02-11,"Congregate Living","Short-term accommodations",4
2021-02-11,"Education","Child care",47
2021-02-11,"Education","Elementary School",12
2021-02-11,"Education","Elementary/Secondary School",1
2021-02-11,"Education","Post-Secondary School",1
2021-02-11,"Education","Secondary School",4
2021-02-11,"Other/Unknown","Other",1
2021-02-11,"Other/Unknown","Unknown",5
2021-02-11,"Recreational","Bar/restaurant/nightclub",6
2021-02-11,"Recreational","Other recreation",11
2021-02-11,"Recreational","Personal service settings",1
2021-02-11,"Recreational","Recreational fitness",2
2021-02-11,"Workplace","Medical/Health Service",8
2021-02-11,"Workplace","Retail",23
2021-02-11,"Workplace","Farm",15
2021-02-11,"Workplace","Food Processing",15
2021-02-11,"Workplace","Workplace (Other)",135
2021-02-12,"Congregate Care","Hospitals",49
2021-02-12,"Congregate Care","Long-Term Care Homes",191
2021-02-12,"Congregate Care","Retirement Homes",109
2021-02-12,"Congregate Living","Congregate other",12
2021-02-12,"Congregate Living","Correctional Facility",13
2021-02-12,"Congregate Living","Group Home/Supportive Housing",53
2021-02-12,"Congregate Living","Shelter",18
2021-02-12,"Congregate Living","Short-term accommodations",4
2021-02-12,"Education","Child care",47
2021-02-12,"Education","Elementary School",14
2021-02-12,"Education","Elementary/Secondary School",1
2021-02-12,"Education","Post-Secondary School",1
2021-02-12,"Education","Secondary School",4
2021-02-12,"Other/Unknown","Other",2
2021-02-12,"Other/Unknown","Unknown",8
2021-02-12,"Recreational","Bar/restaurant/nightclub",5
2021-02-12,"Recreational","Other recreation",9
2021-02-12,"Recreational","Personal service settings",1
2021-02-12,"Recreational","Recreational fitness",2
2021-02-12,"Workplace","Medical/Health Service",7
2021-02-12,"Workplace","Retail",27
2021-02-12,"Workplace","Farm",12
2021-02-12,"Workplace","Food Processing",13
2021-02-12,"Workplace","Workplace (Other)",137
2021-02-13,"Congregate Care","Hospitals",48
2021-02-13,"Congregate Care","Long-Term Care Homes",186
2021-02-13,"Congregate Care","Retirement Homes",108
2021-02-13,"Congregate Living","Congregate other",13
2021-02-13,"Congregate Living","Correctional Facility",14
2021-02-13,"Congregate Living","Group Home/Supportive Housing",53
2021-02-13,"Congregate Living","Shelter",19
2021-02-13,"Congregate Living","Short-term accommodations",4
2021-02-13,"Education","Child care",48
2021-02-13,"Education","Elementary School",14
2021-02-13,"Education","Elementary/Secondary School",1
2021-02-13,"Education","Post-Secondary School",1
2021-02-13,"Education","Secondary School",3
2021-02-13,"Other/Unknown","Other",4
2021-02-13,"Other/Unknown","Unknown",10
2021-02-13,"Recreational","Bar/restaurant/nightclub",4
2021-02-13,"Recreational","Other recreation",9
2021-02-13,"Recreational","Personal service settings",1
2021-02-13,"Recreational","Recreational fitness",2
2021-02-13,"Workplace","Medical/Health Service",8
2021-02-13,"Workplace","Retail",26
2021-02-13,"Workplace","Farm",12
2021-02-13,"Workplace","Food Processing",13
2021-02-13,"Workplace","Workplace (Other)",130
2021-02-14,"Congregate Care","Hospitals",48
2021-02-14,"Congregate Care","Long-Term Care Homes",174
2021-02-14,"Congregate Care","Retirement Homes",103
2021-02-14,"Congregate Living","Congregate other",12
2021-02-14,"Congregate Living","Correctional Facility",12
2021-02-14,"Congregate Living","Group Home/Supportive Housing",51
2021-02-14,"Congregate Living","Shelter",21
2021-02-14,"Congregate Living","Short-term accommodations",4
2021-02-14,"Education","Child care",47
2021-02-14,"Education","Elementary School",13
2021-02-14,"Education","Elementary/Secondary School",1
2021-02-14,"Education","Post-Secondary School",1
2021-02-14,"Education","Secondary School",3
2021-02-14,"Other/Unknown","Other",5
2021-02-14,"Other/Unknown","Unknown",11
2021-02-14,"Recreational","Bar/restaurant/nightclub",5
2021-02-14,"Recreational","Other recreation",9
2021-02-14,"Recreational","Personal service settings",1
2021-02-14,"Recreational","Recreational fitness",2
2021-02-14,"Workplace","Medical/Health Service",9
2021-02-14,"Workplace","Retail",26
2021-02-14,"Workplace","Farm",12
2021-02-14,"Workplace","Food Processing",13
2021-02-14,"Workplace","Workplace (Other)",129
2021-02-15,"Congregate Care","Hospitals",48
2021-02-15,"Congregate Care","Long-Term Care Homes",171
2021-02-15,"Congregate Care","Retirement Homes",98
2021-02-15,"Congregate Living","Congregate other",12
2021-02-15,"Congregate Living","Correctional Facility",12
2021-02-15,"Congregate Living","Group Home/Supportive Housing",47
2021-02-15,"Congregate Living","Shelter",22
2021-02-15,"Congregate Living","Short-term accommodations",4
2021-02-15,"Education","Child care",47
2021-02-15,"Education","Elementary School",15
2021-02-15,"Education","Elementary/Secondary School",2
2021-02-15,"Education","Post-Secondary School",1
2021-02-15,"Education","Secondary School",3
2021-02-15,"Other/Unknown","Other",5
2021-02-15,"Other/Unknown","Unknown",4
2021-02-15,"Recreational","Bar/restaurant/nightclub",5
2021-02-15,"Recreational","Other recreation",10
2021-02-15,"Recreational","Personal service settings",1
2021-02-15,"Recreational","Recreational fitness",2
2021-02-15,"Workplace","Medical/Health Service",8
2021-02-15,"Workplace","Retail",26
2021-02-15,"Workplace","Farm",12
2021-02-15,"Workplace","Food Processing",11
2021-02-15,"Workplace","Workplace (Other)",122
2021-02-16,"Congregate Care","Hospitals",47
2021-02-16,"Congregate Care","Long-Term Care Homes",162
2021-02-16,"Congregate Care","Retirement Homes",93
2021-02-16,"Congregate Living","Congregate other",11
2021-02-16,"Congregate Living","Correctional Facility",12
2021-02-16,"Congregate Living","Group Home/Supportive Housing",47
2021-02-16,"Congregate Living","Shelter",22
2021-02-16,"Congregate Living","Short-term accommodations",4
2021-02-16,"Education","Child care",47
2021-02-16,"Education","Elementary School",15
2021-02-16,"Education","Elementary/Secondary School",2
2021-02-16,"Education","Post-Secondary School",1
2021-02-16,"Education","Secondary School",4
2021-02-16,"Other/Unknown","Other",7
2021-02-16,"Other/Unknown","Unknown",4
2021-02-16,"Recreational","Bar/restaurant/nightclub",5
2021-02-16,"Recreational","Other recreation",10
2021-02-16,"Recreational","Personal service settings",1
2021-02-16,"Recreational","Recreational fitness",2
2021-02-16,"Workplace","Medical/Health Service",7
2021-02-16,"Workplace","Retail",26
2021-02-16,"Workplace","Farm",12
2021-02-16,"Workplace","Food Processing",11
2021-02-16,"Workplace","Workplace (Other)",121
2021-02-17,"Congregate Care","Hospitals",47
2021-02-17,"Congregate Care","Long-Term Care Homes",156
2021-02-17,"Congregate Care","Retirement Homes",92
2021-02-17,"Congregate Living","Congregate other",11
2021-02-17,"Congregate Living","Correctional Facility",13
2021-02-17,"Congregate Living","Group Home/Supportive Housing",47
2021-02-17,"Congregate Living","Shelter",25
2021-02-17,"Congregate Living","Short-term accommodations",3
2021-02-17,"Education","Child care",44
2021-02-17,"Education","Elementary School",15
2021-02-17,"Education","Elementary/Secondary School",2
2021-02-17,"Education","Secondary School",4
2021-02-17,"Other/Unknown","Other",7
2021-02-17,"Other/Unknown","Unknown",3
2021-02-17,"Recreational","Bar/restaurant/nightclub",6
2021-02-17,"Recreational","Other recreation",10
2021-02-17,"Recreational","Personal service settings",1
2021-02-17,"Recreational","Recreational fitness",1
2021-02-17,"Workplace","Medical/Health Service",6
2021-02-17,"Workplace","Retail",24
2021-02-17,"Workplace","Farm",12
2021-02-17,"Workplace","Food Processing",10
2021-02-17,"Workplace","Workplace (Other)",110
2021-02-18,"Congregate Care","Hospitals",45
2021-02-18,"Congregate Care","Long-Term Care Homes",143
2021-02-18,"Congregate Care","Retirement Homes",84
2021-02-18,"Congregate Living","Congregate other",9
2021-02-18,"Congregate Living","Correctional Facility",14
2021-02-18,"Congregate Living","Group Home/Supportive Housing",45
2021-02-18,"Congregate Living","Shelter",25
2021-02-18,"Congregate Living","Short-term accommodations",4
2021-02-18,"Education","Child care",41
2021-02-18,"Education","Elementary School",14
2021-02-18,"Education","Elementary/Secondary School",1
2021-02-18,"Education","Secondary School",5
2021-02-18,"Other/Unknown","Other",7
2021-02-18,"Other/Unknown","Unknown",2
2021-02-18,"Recreational","Bar/restaurant/nightclub",5
2021-02-18,"Recreational","Other recreation",10
2021-02-18,"Recreational","Recreational fitness",1
2021-02-18,"Workplace","Medical/Health Service",6
2021-02-18,"Workplace","Retail",19
2021-02-18,"Workplace","Farm",9
2021-02-18,"Workplace","Food Processing",10
2021-02-18,"Workplace","Workplace (Other)",96
2021-02-19,"Congregate Care","Hospitals",41
2021-02-19,"Congregate Care","Long-Term Care Homes",137
2021-02-19,"Congregate Care","Retirement Homes",84
2021-02-19,"Congregate Living","Congregate other",6
2021-02-19,"Congregate Living","Correctional Facility",16
2021-02-19,"Congregate Living","Group Home/Supportive Housing",44
2021-02-19,"Congregate Living","Shelter",28
2021-02-19,"Congregate Living","Short-term accommodations",4
2021-02-19,"Education","Child care",38
2021-02-19,"Education","Elementary School",16
2021-02-19,"Education","Secondary School",5
2021-02-19,"Other/Unknown","Other",11
2021-02-19,"Other/Unknown","Unknown",3
2021-02-19,"Recreational","Bar/restaurant/nightclub",6
2021-02-19,"Recreational","Other recreation",10
2021-02-19,"Recreational","Recreational fitness",1
2021-02-19,"Workplace","Medical/Health Service",6
2021-02-19,"Workplace","Retail",18
2021-02-19,"Workplace","Farm",10
